step,size,vocab,accuracy 
10,12,100,3.406667e-01 
10,12,300,3.326667e-01 
10,12,500,3.220000e-01 
10,12,700,3.633333e-01 
10,12,900,3.026667e-01 
10,14,100,3.206667e-01 
10,14,300,3.260000e-01 
10,14,500,2.953333e-01 
10,14,700,3.340000e-01 
10,14,900,2.620000e-01 
10,16,100,2.813333e-01 
10,16,300,3.173333e-01 
10,16,500,2.946667e-01 
10,16,700,3.166667e-01 
10,16,900,2.666667e-01 
