step,size,vocab,accuracy 
10,12,100,3.306667e-01 
10,12,300,3.646667e-01 
10,12,500,2.860000e-01 
10,12,700,4.026667e-01 
10,12,900,2.960000e-01 
10,14,100,3.186667e-01 
10,14,300,3.440000e-01 
10,14,500,2.926667e-01 
10,14,700,3.686667e-01 
10,14,900,2.633333e-01 
10,16,100,3.100000e-01 
10,16,300,3.233333e-01 
10,16,500,2.680000e-01 
10,16,700,3.460000e-01 
10,16,900,2.720000e-01 
