step,size,vocab,accuracy 
10,12,100,2.733333e-01 
10,12,300,2.133333e-01 
10,12,500,1.540000e-01 
10,12,700,1.986667e-01 
10,12,900,1.720000e-01 
10,14,100,2.633333e-01 
10,14,300,1.966667e-01 
10,14,500,1.573333e-01 
10,14,700,1.733333e-01 
10,14,900,1.820000e-01 
10,16,100,2.513333e-01 
10,16,300,2.366667e-01 
10,16,500,1.533333e-01 
10,16,700,1.966667e-01 
10,16,900,1.773333e-01 
